year,month,day,total_mg,arcos,bh,contagem,divinopolis,lagoa,lavras,moema,samonte
2020,4,1,314,0,188,7,13,4,1,0,0
2020,4,2,370,1,207,9,9,5,1,0,2
2020,4,3,397,1,222,10,12,5,1,0,2
2020,4,4,430,1,234,11,14,5,2,0,2
2020,4,5,498,1,259,13,15,5,2,0,2
2020,4,6,525,1,260,13,15,5,3,0,2
2020,4,7,559,2,270,13,15,11,3,0,2
2020,4,8,614,2,293,14,16,11,3,0,2
2020,4,9,655,2,304,14,19,11,3,0,2
2020,4,10,698,2,324,16,18,11,3,0,2
2020,4,11,750,2,332,17,20,11,3,0,4
2020,4,12,806,4,349,17,20,14,3,0,4
2020,4,13,815,4,351,17,20,14,3,0,3
2020,4,14,884,4,367,19,30,14,4,0,3
2020,4,15,903,5,374,20,30,14,4,0,3
2020,4,16,958,5,383,22,34,14,4,0,3
2020,4,17,1021,7,398,31,35,16,4,0,3
2020,4,18,1077,7,412,34,35,16,5,0,3
2020,4,19,1154,7,440,35,36,16,6,0,3
2020,4,20,1189,7,452,36,38,16,6,0,3
2020,4,21,1230,7,459,38,40,16,7,0,3
